사업장명,지번주소,도로명주소,도로명우편번호,소재지우편번호,좌표정보(X),좌표정보(Y),위도,경도
매머드익스프레스 양재역 강남대로점,서울특별시 강남구 도곡동 952-10 목원빌딩,"서울특별시 강남구 강남대로 248, 목원빌딩 지상1층 3호 (도곡동)",06266,135-860,202932.225857833,442614.941889928,37.48591854774786,127.03395817517186
더노벰버라운지 강남역KG타워점,서울특별시 강남구 역삼동 819-5 KG Tower,"서울특별시 강남구 테헤란로5길 7, KG Tower 지상1층 (역삼동)",06134,135-932,202516.402127871,444117.548770404,37.49945981779912,127.02926109824979
주식회사 리즈 서울 (RIZZ SEOUL),서울특별시 강남구 신사동 662-6,"서울특별시 강남구 언주로172길 55, 지하1층 (신사동)",06018,135-897,203324.815532971,447194.893694527,37.527187226183166,127.03841835753325
돈웍(DON WOK),서울특별시 영등포구 양평동4가 75,"서울특별시 영등포구 선유로49길 22, 2층 (양평동4가)",07208,150-866,190678.751821543,448275.201526694,37.53688074082995,126.89532185145488
별라,서울특별시 영등포구 당산동1가 79-5,"서울특별시 영등포구 영등포로 159, 2층 (당산동1가)",07267,150-800,191030.673782712,446542.205853985,37.52126826378584,126.89932531020665
여의도포항집,서울특별시 영등포구 여의도동 41-1,"서울특별시 영등포구 국제금융로7길 22, 대교상가 에이동 118호 (여의도동)",07340,150-889,194015.180457719,446777.454528971,37.52341226903993,126.93308865619804
국밥회관,서울특별시 관악구 봉천동 692-25,"서울특별시 관악구 당곡2길 20, 1층 (봉천동)",08711,151-821,193742.367330175,443176.414437414,37.49096145943585,126.93003273021894
육회바른연어 역삼점,서울특별시 강남구 역삼동 829-3,"서울특별시 강남구 논현로79길 69, 지상1층 102호 (역삼동)",06244,135-936,202883.596801295,443736.819492795,37.49602798226585,127.03341266352356
논현전,서울특별시 강남구 논현동 143-2,"서울특별시 강남구 강남대로128길 6, 지하1층 (논현동)",06114,135-825,201946.281714521,445277.571159165,37.509914177563175,127.02281597251302
도아(濤芽),서울특별시 송파구 거여동 26-5,"서울특별시 송파구 오금로59길 4, 1층 101,102호 (거여동)",05744,138-813,212670.55,443513.87,37.493936574354734,127.14409630060281
미래식당,서울특별시 중구 명동2가 2-7 명광빌딩,"서울특별시 중구 명동10길 7-7, 명광빌딩 지1층 (명동2가)",04537,100-809,198660.385412631,451251.330448808,37.563744617065026,126.98563563497083
남문장터국밥,서울특별시 금천구 독산동 984-9,"서울특별시 금천구 시흥대로144길 21, 1층 7호 (독산동)",08544,153-825,191139.171902236,441284.947753482,37.47389607856517,126.90061611213864
KS진도댁,서울특별시 금천구 가산동 60-14,"서울특별시 금천구 벚꽃로36길 30, 1F층 122호 (가산동)",08511,153-801,189767.416750179,442063.859932184,37.48090072096715,126.88509573351755
에이그레이트 카페,서울특별시 성동구 성수동2가 273-15 우영테크노센터,"서울특별시 성동구 아차산로 144, 우영테크노센터 1층 103-1호 (성수동2가)",04783,133-831,205197.247681516,448985.06747453,37.54330977495817,127.05961649960997
포동푸딩,서울특별시 성동구 성수동1가 685-415,"서울특별시 성동구 서울숲2길 21, 1층 (성수동1가)",04768,133-825,203559.059697433,449426.260055214,37.547293119717544,127.04107950751012
스위치(S.witch),서울특별시 구로구 고척동 76-137 의성빌딩,"서울특별시 구로구 경인로47길 13, 의성빌딩 1층 (고척동)",08223,152-826,188148.310902591,444211.474351706,37.50023356052214,126.8667532640459
타임투플레이,서울특별시 종로구 구기동 135,"서울특별시 종로구 비봉2길 6, 102호 (구기동)",03001,110-804,196116.811870725,456457.289965967,37.61064773557197,126.95681492931637
낙지도 잠실본점,서울특별시 송파구 잠실동 194 잠실아이파크,"서울특별시 송파구 올림픽로8길 20, 잠실아이파크 1층 A118, A119호 (잠실동)",05561,138-862,207006.591695429,445317.839419365,37.5102524970174,127.08005759842779
초이다이닝 광화문점,서울특별시 종로구 종로1가 24 르메이에르종로타운1,"서울특별시 종로구 종로 19, 르메이에르종로타운1 지상 2층 216호 (종로1가)",03157,110-121,198150.300374121,452019.212642931,37.57066306108934,126.9798595631705
평안도식당 신촌점,서울특별시 서대문구 창천동 29-30 용성빌딩,"서울특별시 서대문구 연세로4길 12, 용성빌딩 1층 (창천동)",03779,120-833,194441.065804256,450526.865252968,37.55720071783064,126.93787867057581
입큰 아구찜&알곤이찜,서울특별시 송파구 문정동 96-7,"서울특별시 송파구 송이로36길 37, 1층 (문정동)",05802,138-200,211390.541120769,442451.202342067,37.48437752729867,127.12960376226823
매거진노츠,서울특별시 용산구 용문동 32-40,"서울특별시 용산구 새창로20가길 18, 1,2층 (용문동)",04356,140-832,196370.446120702,448377.697966288,37.53784429567336,126.95972786139777
클레오파트라 라운지카페(cleopatra lounge cafe),서울특별시 용산구 이태원동 124-7,"서울특별시 용산구 이태원로 199, 2층 (이태원동)",04349,140-858,199598.568893577,448066.020645324,37.53504283568708,126.99625756360999
홈숯불순살통오리바베큐,서울특별시 서초구 양재동 10-2 1층 103호,"서울특별시 서초구 남부순환로356길 32, 1층 103호 (양재동)",06743,137-887,203287.754325275,442364.919278386,37.483664385596306,127.03797744245877
보은초밥,서울특별시 강북구 미아동 1369 꿈의숲 해링턴 플레이스,"서울특별시 강북구 오현로 45, 상가108동 지2층 2-3호 (미아동, 꿈의숲 해링턴 플레이스)",01155,142-100,202969.724087593,457353.848565416,37.61872989249413,127.03444185802508
오가네,서울특별시 강북구 수유동 451-104,"서울특별시 강북구 덕릉로 17, 1층 우측호 (수유동)",01094,142-885,201300.088496013,459084.66393814,37.634329855677215,127.015530841574
밀스버거,서울특별시 강동구 성내동 440-25,"서울특별시 강동구 양재대로83길 14, 1층 (성내동)",05408,134-846,211742.310725194,446815.280364051,37.523697809398286,127.13365121225604
한울밥상,서울특별시 강동구 성내동 429-10,"서울특별시 강동구 양재대로89길 13, 101호 (성내동)",05405,134-890,211835.981249432,447143.431610694,37.52665357113288,127.1347162732
돌무데기가든,서울특별시 강동구 길동 353-12,"서울특별시 강동구 명일로19길 20, 1층 101-1호 (길동)",05344,134-812,212789.75090262,448611.32552843,37.53986795498648,127.14553307254013
미엘케이커리,서울특별시 관악구 봉천동 1612-40,"서울특별시 관악구 관악로14길 71, 3층 301호 (봉천동)",08789,151-848,196087.400125319,441807.34925157,37.47863765882307,126.95655986005929
