name,category,city,district,parcelAddress,roadAddress,roadPostal,districtPostal,latitude,longitude,xCoordinate,yCoordinate
(주)캘리스코 사보텐(SABOTEN) 경방타임스퀘어점,한식,서울특별시,영등포구,서울특별시 영등포구 영등포동4가 442 (경방타임스퀘어 B1층),"서울특별시 영등포구 영중로 15 (영등포동4가,(경방타임스퀘어 B1층))",7305,150-034,37.51727391836660,126.90333983207300,191385.057392247,446098.555926507
와글와글,까페,서울특별시,광진구,서울특별시 광진구 중곡동 244-6,서울특별시 광진구 면목로 102-1 (중곡동),4914,143-904,37.56289599344780,127.07968296588200,206968.572611028,451159.969659086
스톤아일랜드(STONE ISLAND),호프/통닭,서울특별시,중랑구,서울특별시 중랑구 묵동 176-35,서울특별시 중랑구 동일로 900 (묵동),2037,131-848,37.611078271469300,127.07802416550400,206817.637103405,456506.963985299
마포옛날수제돼지갈비,한식,서울특별시,은평구,서울특별시 은평구 역촌동 19-53,서울특별시 은평구 역말로 72 (역촌동),3403,122-896,37.60627235380320,126.91831619959000,192717.554076641,455974.011505916
93조개구이찜,한식,서울특별시,금천구,서울특별시 금천구 가산동 142-41 44호지상1층 (구로동길269),"서울특별시 금천구 가산로 144 (가산동,44호지상1층 (구로동길269))",8527,153-801,37.47838203238130,126.89115897991300,190303.309149268,441783.707243685
북경양꼬치,중국식,서울특별시,은평구,서울특별시 은평구 갈현동 400-13,"서울특별시 은평구 연서로29길 14-15, 1층 (갈현동)",3330,122-809,37.6198658217044,126.9193563545730,192810.697523836,457482.497889141
북경,중국식,서울특별시,구로구,서울특별시 구로구 고척동 259-4 259-7,"서울특별시 구로구 고척로 154 (고척동,259-7)",8234,152-834,37.50325778995450,126.85079732489900,186738.106973635,444549.21791479
화육계,한식,서울특별시,중구,서울특별시 중구 을지로3가 296-6,서울특별시 중구 을지로14길 21 (을지로3가),4550,100-846,37.56540707606470,126.99222618342100,199242.608940321,451435.750592935
나씽벗(Nothing but),경양식,서울특별시,성북구,서울특별시 성북구 장위동 218-11,"서울특별시 성북구 돌곶이로41가길 14-16, 지하1층 101호 (장위동)",2754,136-834,37.61876775568130,127.0442681493860,203837.134857183,457358.406811674
고향국집,중국식,서울특별시,금천구,서울특별시 금천구 독산동 985-6,"서울특별시 금천구 독산로93길 35, 지상1층 (독산동)",8543,153-825,37.47409969128410,126.90125561922500,191195.757415235,441307.483638311
비비큐 시흥스마트점,호프/통닭,서울특별시,금천구,서울특별시 금천구 시흥동 917-13,"서울특별시 금천구 금하로24길 25, 1층 102호 (시흥동)",8644,153-859,37.44998899120300,126.90856741729800,191839.832680396,438631.152626759
셀레그덮밥,한식,서울특별시,강서구,서울특별시 강서구 등촌동 700 플러스존,"서울특별시 강서구 공항대로41길 34, 플러스존 2층 213호 (등촌동)",7587,157-930,37.55950490195220,126.84572266117400,186299.74267687,450792.016505679
명품가족발보쌈,한식,서울특별시,강동구,서울특별시 강동구 성내동 288-38,"서울특별시 강동구 천호옛8길 49, 1층 (성내동)",5387,134-842,37.53271573549780,127.12588478997900,211054.529321698,447815.110427194
고트피자,냉면집,서울특별시,양천구,서울특별시 양천구 신정동 997-6 삼천리아파트,"서울특별시 양천구 목동로15길 8, 1층 7호 (신정동, 삼천리아파트)",8022,158-860,37.52444469585050,126.86371075059500,187883.222795817,446898.704072605
스페이스 코르 목동점,기타,서울특별시,양천구,서울특별시 양천구 목동 724-6,"서울특별시 양천구 목동중앙남로 57-7, 1층 (목동)",7958,158-814,37.53895248022040,126.86570067348800,188061.417013825,448508.463109913
빙수있슈,기타,서울특별시,은평구,서울특별시 은평구 구산동 24-1,"서울특별시 은평구 연서로11길 19-2, 1층 (구산동)",3414,122-820,37.60863337406220,126.91291505612700,192240.9354864,456236.463594071
만득이곱창,기타,서울특별시,강남구,서울특별시 강남구 논현동 159,"서울특별시 강남구 강남대로124길 36, 지상1층 (논현동)",6114,135-825,37.50951490571870,127.02557215699500,202189.948822685,445233.32240472
배달한상,"외국음식전문점(인도,태국등)",서울특별시,송파구,서울특별시 송파구 마천동 90-26,"서울특별시 송파구 마천로39길 40, 1층 103호 (마천동)",5753,138-818,37.500706379088800,127.14985165103800,213178.260370627,444265.940748288
육화월,한식,서울특별시,강동구,서울특별시 강동구 천호동 293-10 강동아트타워,"서울특별시 강동구 구천면로 297, 강동아트타워 지층 B101호 (천호동)",5320,134-867,37.546551896906100,127.13388062026000,211758.998354599,449351.56191224
